Berichtsjahr,Berichtsmonat,Segment,Marke,Modellreihe,Anzahl,ZS Anzahl,Diesel,ZS Diesel,Hybrid,ZS Hybrid,Benzin-Hybrid,ZS Benzin-Hybrid,Diesel-Hybrid,ZS Diesel-Hybrid,Hybrid (ohne Plug-in),ZS Hybrid (ohne Plug-in),Benzin-Hybrid (ohne Plug-in),ZS Benzin-Hybrid (ohne Plug-in),Diesel-Hybrid (ohne Plug-in),ZS Diesel-Hybrid (ohne Plug-in),Plug-in-Hybrid,ZS Plug-in-Hybrid,Benzin-Plug-in-Hybrid,ZS Benzin-Plug-in-Hybrid,Diesel-Plug-in-Hybrid,ZS Diesel-Plug-in-Hybrid,Elektro (BEV),ZS Elektro (BEV),Allradantrieb,ZS Allrad,offener Aufbau,ZS offener Aufbau,gewerblich,ZS gewerblich,ObjectId,Monat Sortierung
2025,Mai,KOMPAKTKLASSE,BMW,2ER,1736,,93,,700,,589,,111,,643,,532,,111,,57,,57,,,-,,-,380,,,-,1310,,20364,5
2025,Mai,KOMPAKTKLASSE,BYD,DOLPHIN,45,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,45,,,-,,-,35,,20365,5
2025,Mai,KOMPAKTKLASSE,CITROEN,C4,664,,5,,367,,367,,,-,367,,367,,,-,,-,,-,,-,25,,,-,,-,462,,20366,5
2025,Mai,KOMPAKTKLASSE,DACIA,LOGAN,3,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,3,,20367,5
2025,Mai,KOMPAKTKLASSE,DACIA,SANDERO,1954,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,418,,20368,5
2025,Mai,KOMPAKTKLASSE,DS,4,46,,24,,19,,19,,,-,17,,17,,,-,2,,2,,,-,,-,,-,,-,42,,20369,5
2025,Mai,KOMPAKTKLASSE,FIAT,TIPO,49,,49,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,7,,20370,5
2025,Mai,KOMPAKTKLASSE,FORD,FOCUS,1336,,508,,694,,694,,,-,694,,694,,,-,,-,,-,,-,,-,,-,,-,1109,,20371,5
2025,Mai,KOMPAKTKLASSE,GWM,ORA 03,125,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,125,,,-,,-,61,,20372,5
2025,Mai,KOMPAKTKLASSE,HONDA,CIVIC,63,,,-,51,,51,,,-,51,,51,,,-,,-,,-,,-,,-,,-,,-,27,,20373,5
2025,Mai,KOMPAKTKLASSE,HYUNDAI,I 30,754,,,-,560,,560,,,-,560,,560,,,-,,-,,-,,-,,-,,-,,-,564,,20374,5
2025,Mai,KOMPAKTKLASSE,KIA,CEED,1444,,,-,194,,192,,2,,187,,185,,2,,7,,7,,,-,,-,,-,,-,931,,20375,5
2025,Mai,KOMPAKTKLASSE,KIA,CERATO,1,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,1,,20376,5
2025,Mai,KOMPAKTKLASSE,MAZDA,3,337,,,-,337,,337,,,-,337,,337,,,-,,-,,-,,-,,-,6,,,-,192,,20377,5
2025,Mai,KOMPAKTKLASSE,MAZDA,MX-5,44,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,44,,33,,20378,5
2025,Mai,KOMPAKTKLASSE,MERCEDES,A-KLASSE,1413,,246,,1140,,1140,,,-,883,,883,,,-,257,,257,,,-,,-,110,,,-,597,,20379,5
2025,Mai,KOMPAKTKLASSE,MG ROEWE,4,588,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,588,,2,,,-,283,,20380,5
2025,Mai,KOMPAKTKLASSE,OPEL,ASTRA,2939,,475,,355,,355,,,-,234,,234,,,-,121,,121,,,-,81,,,-,,-,2688,,20381,5
2025,Mai,KOMPAKTKLASSE,PEUGEOT,308,730,,306,,387,,387,,,-,363,,363,,,-,24,,24,,,-,9,,,-,,-,642,,20382,5
2025,Mai,KOMPAKTKLASSE,RENAULT,MEGANE,45,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,45,,,-,,-,38,,20383,5
2025,Mai,KOMPAKTKLASSE,SEAT,BORN,1474,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,1474,,,-,,-,294,,20384,5
2025,Mai,KOMPAKTKLASSE,SEAT,LEON,3191,,410,,2128,,2128,,,-,1453,,1453,,,-,675,,675,,,-,,-,280,,,-,2385,,20385,5
2025,Mai,KOMPAKTKLASSE,SKODA,OCTAVIA,3652,,1704,,802,,802,,,-,801,,801,,,-,1,,1,,,-,,-,55,,,-,2597,,20386,5
2025,Mai,KOMPAKTKLASSE,SKODA,SCALA,708,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,373,,20387,5
2025,Mai,KOMPAKTKLASSE,SUBARU,IMPREZA,6,,,-,6,,6,,,-,6,,6,,,-,,-,,-,,-,,-,6,,,-,3,,20388,5
2025,Mai,KOMPAKTKLASSE,SUZUKI,SWACE,55,,,-,55,,55,,,-,55,,55,,,-,,-,,-,,-,,-,,-,,-,52,,20389,5
2025,Mai,KOMPAKTKLASSE,TOYOTA,COROLLA,1313,,,-,1313,,1313,,,-,1313,,1313,,,-,,-,,-,,-,,-,9,,,-,1015,,20390,5
2025,Mai,KOMPAKTKLASSE,TOYOTA,PRIUS,15,,,-,15,,15,,,-,,-,,-,,-,15,,15,,,-,,-,,-,,-,7,,20391,5
2025,Mai,KOMPAKTKLASSE,VW,GOLF,7495,,1612,,2974,,2974,,,-,2474,,2474,,,-,500,,500,,,-,,-,365,,,-,6069,,20392,5
2025,Mai,KOMPAKTKLASSE,VW,ID.3,2939,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,2939,,,-,,-,1637,,20393,5
2025,Mai,MITTELKLASSE,ALFA ROMEO,GIULIA,107,,2,,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,67,,,-,63,,20394,5
